dataset,numshot,baseline_model,mean_auc,mean_complexity
albert,64,ttnet,0.574,735.2
albert,64,xgboost,0.6107,133.2
albert,64,logistic_rule_regression,0.6232,119.6
albert,64,logistic_regression,0.5888,62.0
albert,64,decision_tree,0.5688,16.2
albert,16,ttnet,0.5078,459.4
albert,16,xgboost,0.5405,84.4
albert,16,logistic_rule_regression,0.5561,170.4
albert,16,logistic_regression,0.5088,62.0
albert,16,decision_tree,0.5506,5.8
albert,4,ttnet,0.5034,355.8
albert,4,xgboost,0.5,0.0
albert,4,logistic_rule_regression,0.5473,268.4
albert,4,logistic_regression,0.4633,61.8
albert,4,decision_tree,0.4979,1.4
albert,8,ttnet,0.5117,363.4
albert,8,xgboost,0.5074,0.6
albert,8,logistic_rule_regression,0.567,211.8
albert,8,logistic_regression,0.5225,62.0
albert,8,decision_tree,0.4933,2.2
albert,32,ttnet,0.5408,542.8
albert,32,xgboost,0.5932,321.4
albert,32,logistic_rule_regression,0.5958,128.6
albert,32,logistic_regression,0.5905,160.6
albert,32,decision_tree,0.5744,11.4
albert,256,ttnet,0.6104,890.0
albert,256,xgboost,0.6559,121.8
albert,256,logistic_rule_regression,0.618,183.0
albert,256,logistic_regression,0.6194,62.0
albert,256,decision_tree,0.6058,23.0
albert,128,ttnet,0.591,829.6
albert,128,xgboost,0.6269,567.0
albert,128,logistic_rule_regression,0.6026,145.6
albert,128,logistic_regression,0.6066,171.8
albert,128,decision_tree,0.5752,34.6
blood,64,ttnet,0.7187,72.8
blood,64,xgboost,0.7065,168.6
blood,64,logistic_rule_regression,0.6395,52.0
blood,64,logistic_regression,0.7484,8.0
blood,64,decision_tree,0.6589,23.4
blood,16,ttnet,0.6686,70.2
blood,16,xgboost,0.5925,16.8
blood,16,logistic_rule_regression,0.6746,48.4
blood,16,logistic_regression,0.7093,8.0
blood,16,decision_tree,0.5726,7.4
blood,4,ttnet,0.5803,47.2
blood,4,xgboost,0.5,0.0
blood,4,logistic_rule_regression,0.6082,57.6
blood,4,logistic_regression,0.5841,8.0
blood,4,decision_tree,0.5,1.0
blood,8,ttnet,0.652,67.8
blood,8,xgboost,0.5,0.0
blood,8,logistic_rule_regression,0.6836,48.0
blood,8,logistic_regression,0.6894,8.0
blood,8,decision_tree,0.5491,3.0
blood,32,ttnet,0.699,75.8
blood,32,xgboost,0.6884,44.4
blood,32,logistic_rule_regression,0.6231,48.6
blood,32,logistic_regression,0.7297,8.0
blood,32,decision_tree,0.6038,13.0
blood,256,ttnet,0.7462,72.0
blood,256,xgboost,0.6897,539.4
blood,256,logistic_rule_regression,0.7152,41.2
blood,256,logistic_regression,0.7619,8.0
blood,256,decision_tree,0.6551,34.6
blood,128,ttnet,0.7256,72.2
blood,128,xgboost,0.7085,372.0
blood,128,logistic_rule_regression,0.6904,46.6
blood,128,logistic_regression,0.7549,8.0
blood,128,decision_tree,0.6514,41.8
bank,64,ttnet,0.74,452.2
bank,64,xgboost,0.8262,544.6
bank,64,logistic_rule_regression,0.8059,90.6
bank,64,logistic_regression,0.8264,61.2
bank,64,decision_tree,0.7023,11.4
bank,16,ttnet,0.6273,369.0
bank,16,xgboost,0.5445,5.4
bank,16,logistic_rule_regression,0.7568,63.0
bank,16,logistic_regression,0.7936,58.2
bank,16,decision_tree,0.6465,5.8
bank,4,ttnet,0.5749,347.4
bank,4,xgboost,0.5,0.0
bank,4,logistic_rule_regression,0.6486,86.4
bank,4,logistic_regression,0.7071,51.0
bank,4,decision_tree,0.5121,1.4
bank,8,ttnet,0.5668,355.2
bank,8,xgboost,0.5212,0.4
bank,8,logistic_rule_regression,0.6914,78.2
bank,8,logistic_regression,0.7419,55.4
bank,8,decision_tree,0.5455,3.4
bank,32,ttnet,0.6924,393.6
bank,32,xgboost,0.7188,172.2
bank,32,logistic_rule_regression,0.7806,46.6
bank,32,logistic_regression,0.812,60.0
bank,32,decision_tree,0.6533,9.4
bank,256,ttnet,0.7987,512.6
bank,256,xgboost,0.8648,1726.2
bank,256,logistic_rule_regression,0.8419,119.8
bank,256,logistic_regression,0.8694,63.4
bank,256,decision_tree,0.791,37.8
bank,128,ttnet,0.794,503.8
bank,128,xgboost,0.825,1565.2
bank,128,logistic_rule_regression,0.816,109.2
bank,128,logistic_regression,0.8505,63.0
bank,128,decision_tree,0.7721,18.6
eye_movements,64,ttnet,0.5222,541.8
eye_movements,64,xgboost,0.5178,30.8
eye_movements,64,logistic_rule_regression,0.5209,127.8
eye_movements,64,logistic_regression,0.5223,46.0
eye_movements,64,decision_tree,0.4989,21.8
eye_movements,16,ttnet,0.5002,426.0
eye_movements,16,xgboost,0.5006,6.4
eye_movements,16,logistic_rule_regression,0.5197,138.2
eye_movements,16,logistic_regression,0.4962,45.8
eye_movements,16,decision_tree,0.5059,6.6
eye_movements,4,ttnet,0.4938,374.8
eye_movements,4,xgboost,0.5,0.0
eye_movements,4,logistic_rule_regression,0.4943,176.8
eye_movements,4,logistic_regression,0.4975,44.2
eye_movements,4,decision_tree,0.5,1.0
eye_movements,8,ttnet,0.5013,385.0
eye_movements,8,xgboost,0.4993,0.6
eye_movements,8,logistic_rule_regression,0.5061,174.8
eye_movements,8,logistic_regression,0.4995,45.4
eye_movements,8,decision_tree,0.4975,1.8
eye_movements,32,ttnet,0.5128,510.0
eye_movements,32,xgboost,0.513,51.6
eye_movements,32,logistic_rule_regression,0.5342,109.8
eye_movements,32,logistic_regression,0.5191,46.0
eye_movements,32,decision_tree,0.5142,10.6
eye_movements,256,ttnet,0.5372,617.6
eye_movements,256,xgboost,0.541,225.6
eye_movements,256,logistic_rule_regression,0.5367,244.0
eye_movements,256,logistic_regression,0.5185,46.0
eye_movements,256,decision_tree,0.5268,65.4
eye_movements,128,ttnet,0.5231,599.6
eye_movements,128,xgboost,0.5312,701.4
eye_movements,128,logistic_rule_regression,0.5422,175.0
eye_movements,128,logistic_regression,0.5338,46.0
eye_movements,128,decision_tree,0.5219,35.4
creditg,64,ttnet,0.664,533.8
creditg,64,xgboost,0.694,648.0
creditg,64,logistic_rule_regression,0.6838,110.2
creditg,64,logistic_regression,0.6988,94.2
creditg,64,decision_tree,0.6208,19.0
creditg,16,ttnet,0.5527,373.4
creditg,16,xgboost,0.5575,31.6
creditg,16,logistic_rule_regression,0.6041,57.2
creditg,16,logistic_regression,0.5993,88.8
creditg,16,decision_tree,0.5228,6.6
creditg,4,ttnet,0.4937,347.4
creditg,4,xgboost,0.5,0.0
creditg,4,logistic_rule_regression,0.5837,87.6
creditg,4,logistic_regression,0.5338,76.8
creditg,4,decision_tree,0.5,1.0
creditg,8,ttnet,0.5542,337.8
creditg,8,xgboost,0.4813,0.6
creditg,8,logistic_rule_regression,0.6107,78.8
creditg,8,logistic_regression,0.5833,83.0
creditg,8,decision_tree,0.5235,2.6
creditg,32,ttnet,0.612,430.4
creditg,32,xgboost,0.6079,570.6
creditg,32,logistic_rule_regression,0.6324,72.4
creditg,32,logistic_regression,0.6463,91.8
creditg,32,decision_tree,0.5794,9.4
creditg,256,ttnet,0.7203,566.6
creditg,256,xgboost,0.7461,1934.2
creditg,256,logistic_rule_regression,0.7318,147.0
creditg,256,logistic_regression,0.7622,95.6
creditg,256,decision_tree,0.6647,47.4
creditg,128,ttnet,0.6869,549.4
creditg,128,xgboost,0.7321,288.8
creditg,128,logistic_rule_regression,0.7049,150.0
creditg,128,logistic_regression,0.737,95.6
creditg,128,decision_tree,0.648,27.0
compas,64,ttnet,0.6461,381.2
compas,64,xgboost,0.6677,893.0
compas,64,logistic_rule_regression,0.6383,63.4
compas,64,logistic_regression,0.6925,22.0
compas,64,decision_tree,0.6334,19.8
compas,16,ttnet,0.626,361.4
compas,16,xgboost,0.6188,65.2
compas,16,logistic_rule_regression,0.6468,47.8
compas,16,logistic_regression,0.6972,21.4
compas,16,decision_tree,0.5538,5.0
compas,4,ttnet,0.5027,354.6
compas,4,xgboost,0.5,0.0
compas,4,logistic_rule_regression,0.5711,38.6
compas,4,logistic_regression,0.5934,20.0
compas,4,decision_tree,0.5,1.0
compas,8,ttnet,0.5711,326.8
compas,8,xgboost,0.5093,0.2
compas,8,logistic_rule_regression,0.6234,42.4
compas,8,logistic_regression,0.657,20.6
compas,8,decision_tree,0.5406,3.8
compas,32,ttnet,0.6363,372.8
compas,32,xgboost,0.6416,87.2
compas,32,logistic_rule_regression,0.6298,51.2
compas,32,logistic_regression,0.6516,22.0
compas,32,decision_tree,0.6208,8.2
compas,256,ttnet,0.6804,386.0
compas,256,xgboost,0.6991,33.4
compas,256,logistic_rule_regression,0.6991,46.8
compas,256,logistic_regression,0.7117,22.0
compas,256,decision_tree,0.662,33.4
compas,128,ttnet,0.6872,386.0
compas,128,xgboost,0.6953,142.2
compas,128,logistic_rule_regression,0.6692,53.6
compas,128,logistic_regression,0.7071,22.0
compas,128,decision_tree,0.6485,23.8
electricity,64,ttnet,0.7496,424.6
electricity,64,xgboost,0.7776,74.4
electricity,64,logistic_rule_regression,0.772,87.2
electricity,64,logistic_regression,0.6335,16.0
electricity,64,decision_tree,0.7289,17.0
electricity,16,ttnet,0.6391,368.2
electricity,16,xgboost,0.6513,16.8
electricity,16,logistic_rule_regression,0.6818,45.8
electricity,16,logistic_regression,0.5309,16.0
electricity,16,decision_tree,0.5915,6.2
electricity,4,ttnet,0.6322,361.2
electricity,4,xgboost,0.5,0.0
electricity,4,logistic_rule_regression,0.6237,78.4
electricity,4,logistic_regression,0.511,16.0
electricity,4,decision_tree,0.5037,1.4
electricity,8,ttnet,0.6036,358.2
electricity,8,xgboost,0.5375,0.2
electricity,8,logistic_rule_regression,0.6387,65.8
electricity,8,logistic_regression,0.5273,16.0
electricity,8,decision_tree,0.5818,3.0
electricity,32,ttnet,0.6685,399.8
electricity,32,xgboost,0.7202,34.6
electricity,32,logistic_rule_regression,0.7235,62.6
electricity,32,logistic_regression,0.7505,26.0
electricity,32,decision_tree,0.6587,7.0
electricity,256,ttnet,0.7781,433.4
electricity,256,xgboost,0.8299,1495.6
electricity,256,logistic_rule_regression,0.8216,92.4
electricity,256,logistic_regression,0.6865,16.0
electricity,256,decision_tree,0.7635,59.8
electricity,128,ttnet,0.7679,432.6
electricity,128,xgboost,0.809,1389.0
electricity,128,logistic_rule_regression,0.7873,95.6
electricity,128,logistic_regression,0.7862,26.0
electricity,128,decision_tree,0.7311,35.4
income,64,ttnet,0.7607,567.2
income,64,xgboost,0.8161,437.0
income,64,logistic_rule_regression,0.7803,91.8
income,64,logistic_regression,0.8304,151.0
income,64,decision_tree,0.7508,14.6
income,16,ttnet,0.6408,357.2
income,16,xgboost,0.6703,42.6
income,16,logistic_rule_regression,0.7149,42.4
income,16,logistic_regression,0.7524,134.8
income,16,decision_tree,0.5541,6.2
income,4,ttnet,0.6572,303.2
income,4,xgboost,0.5,0.0
income,4,logistic_rule_regression,0.7307,64.2
income,4,logistic_regression,0.7245,122.6
income,4,decision_tree,0.5,1.0
income,8,ttnet,0.6161,321.8
income,8,xgboost,0.5085,0.2
income,8,logistic_rule_regression,0.6807,56.2
income,8,logistic_regression,0.7009,128.0
income,8,decision_tree,0.5563,2.6
income,32,ttnet,0.6788,411.2
income,32,xgboost,0.7877,123.0
income,32,logistic_rule_regression,0.7337,46.2
income,32,logistic_regression,0.8168,143.6
income,32,decision_tree,0.7043,7.8
income,256,ttnet,0.8414,746.6
income,256,xgboost,0.8756,500.6
income,256,logistic_rule_regression,0.8492,119.2
income,256,logistic_regression,0.881,165.6
income,256,decision_tree,0.8015,15.0
income,128,ttnet,0.8134,646.0
income,128,xgboost,0.8444,1651.6
income,128,logistic_rule_regression,0.812,112.4
income,128,logistic_regression,0.8679,159.6
income,128,decision_tree,0.7871,22.2
diabetes,64,ttnet,0.6933,289.6
diabetes,64,xgboost,0.7258,150.6
diabetes,64,logistic_rule_regression,0.7163,99.0
diabetes,64,logistic_regression,0.7587,16.0
diabetes,64,decision_tree,0.6867,17.8
diabetes,16,ttnet,0.6356,255.8
diabetes,16,xgboost,0.5969,16.2
diabetes,16,logistic_rule_regression,0.6928,59.6
diabetes,16,logistic_regression,0.6535,16.0
diabetes,16,decision_tree,0.6707,6.6
diabetes,4,ttnet,0.4944,242.6
diabetes,4,xgboost,0.5,0.0
diabetes,4,logistic_rule_regression,0.6111,87.6
diabetes,4,logistic_regression,0.5375,16.0
diabetes,4,decision_tree,0.5393,1.4
diabetes,8,ttnet,0.5891,245.8
diabetes,8,xgboost,0.524,0.4
diabetes,8,logistic_rule_regression,0.6561,69.4
diabetes,8,logistic_regression,0.6343,16.0
diabetes,8,decision_tree,0.5733,3.0
diabetes,32,ttnet,0.6755,271.6
diabetes,32,xgboost,0.7094,87.8
diabetes,32,logistic_rule_regression,0.6513,54.6
diabetes,32,logistic_regression,0.727,16.0
diabetes,32,decision_tree,0.6577,9.8
diabetes,256,ttnet,0.7835,311.8
diabetes,256,xgboost,0.7973,1824.0
diabetes,256,logistic_rule_regression,0.7747,127.2
diabetes,256,logistic_regression,0.8094,16.0
diabetes,256,decision_tree,0.7295,57.0
diabetes,128,ttnet,0.7468,285.4
diabetes,128,xgboost,0.7961,226.0
diabetes,128,logistic_rule_regression,0.7329,128.4
diabetes,128,logistic_regression,0.8134,16.0
diabetes,128,decision_tree,0.7106,28.6
covertype,64,ttnet,0.6946,516.0
covertype,64,xgboost,0.7596,401.6
covertype,64,logistic_rule_regression,0.7353,94.0
covertype,64,logistic_regression,0.7863,84.4
covertype,64,decision_tree,0.6974,12.2
covertype,16,ttnet,0.6196,374.8
covertype,16,xgboost,0.6131,41.4
covertype,16,logistic_rule_regression,0.679,106.0
covertype,16,logistic_regression,0.6224,75.0
covertype,16,decision_tree,0.6212,6.6
covertype,4,ttnet,0.6106,340.6
covertype,4,xgboost,0.5,0.0
covertype,4,logistic_rule_regression,0.6109,159.6
covertype,4,logistic_regression,0.5049,69.8
covertype,4,decision_tree,0.5,1.0
covertype,8,ttnet,0.5738,351.0
covertype,8,xgboost,0.5425,0.4
covertype,8,logistic_rule_regression,0.6751,132.4
covertype,8,logistic_regression,0.5275,72.2
covertype,8,decision_tree,0.5061,3.4
covertype,32,ttnet,0.64,435.6
covertype,32,xgboost,0.6858,402.4
covertype,32,logistic_rule_regression,0.7068,99.8
covertype,32,logistic_regression,0.7237,75.0
covertype,32,decision_tree,0.5998,9.4
covertype,256,ttnet,0.768,545.4
covertype,256,xgboost,0.8033,83.2
covertype,256,logistic_rule_regression,0.794,101.0
covertype,256,logistic_regression,0.8073,92.4
covertype,256,decision_tree,0.7084,23.0
covertype,128,ttnet,0.7384,484.0
covertype,128,xgboost,0.7801,948.4
covertype,128,logistic_rule_regression,0.7578,88.6
covertype,128,logistic_regression,0.8153,83.0
covertype,128,decision_tree,0.7122,19.0
credit_card_default,64,ttnet,0.6846,484.6
credit_card_default,64,xgboost,0.6782,30.0
credit_card_default,64,logistic_rule_regression,0.6885,98.2
credit_card_default,64,logistic_regression,0.5497,42.0
credit_card_default,64,decision_tree,0.6613,19.4
credit_card_default,16,ttnet,0.6292,417.2
credit_card_default,16,xgboost,0.5887,21.0
credit_card_default,16,logistic_rule_regression,0.6312,136.2
credit_card_default,16,logistic_regression,0.5187,42.0
credit_card_default,16,decision_tree,0.5292,5.4
credit_card_default,4,ttnet,0.5424,355.6
credit_card_default,4,xgboost,0.5,0.0
credit_card_default,4,logistic_rule_regression,0.5696,200.8
credit_card_default,4,logistic_regression,0.535,41.8
credit_card_default,4,decision_tree,0.5099,1.4
credit_card_default,8,ttnet,0.5968,372.6
credit_card_default,8,xgboost,0.5145,0.6
credit_card_default,8,logistic_rule_regression,0.6221,174.0
credit_card_default,8,logistic_regression,0.5242,42.0
credit_card_default,8,decision_tree,0.5151,2.2
credit_card_default,32,ttnet,0.656,485.4
credit_card_default,32,xgboost,0.6209,134.4
credit_card_default,32,logistic_rule_regression,0.6668,98.2
credit_card_default,32,logistic_regression,0.628,42.0
credit_card_default,32,decision_tree,0.623,9.4
credit_card_default,256,ttnet,0.7077,551.6
credit_card_default,256,xgboost,0.7316,264.0
credit_card_default,256,logistic_rule_regression,0.7111,110.6
credit_card_default,256,logistic_regression,0.5854,42.0
credit_card_default,256,decision_tree,0.6781,38.6
credit_card_default,128,ttnet,0.7077,541.2
credit_card_default,128,xgboost,0.7281,640.0
credit_card_default,128,logistic_rule_regression,0.7077,86.2
credit_card_default,128,logistic_regression,0.6896,42.0
credit_card_default,128,decision_tree,0.6887,25.8
jungle,64,ttnet,0.7339,290.2
jungle,64,xgboost,0.7885,590.4
jungle,64,logistic_rule_regression,0.8029,73.2
jungle,64,logistic_regression,0.7714,12.0
jungle,64,decision_tree,0.6998,21.4
jungle,16,ttnet,0.6782,255.2
jungle,16,xgboost,0.6626,37.4
jungle,16,logistic_rule_regression,0.7118,39.8
jungle,16,logistic_regression,0.6763,12.0
jungle,16,decision_tree,0.6339,5.0
jungle,4,ttnet,0.497,219.8
jungle,4,xgboost,0.5,0.0
jungle,4,logistic_rule_regression,0.5593,39.6
jungle,4,logistic_regression,0.5625,12.0
jungle,4,decision_tree,0.5041,1.4
jungle,8,ttnet,0.5853,246.6
jungle,8,xgboost,0.534,0.2
jungle,8,logistic_rule_regression,0.6187,35.8
jungle,8,logistic_regression,0.6311,12.0
jungle,8,decision_tree,0.5649,3.0
jungle,32,ttnet,0.7102,276.0
jungle,32,xgboost,0.7602,121.8
jungle,32,logistic_rule_regression,0.7691,54.0
jungle,32,logistic_regression,0.7413,12.0
jungle,32,decision_tree,0.6238,14.2
jungle,256,ttnet,0.7779,256.0
jungle,256,xgboost,0.8698,1317.0
jungle,256,logistic_rule_regression,0.8531,106.6
jungle,256,logistic_regression,0.7965,12.0
jungle,256,decision_tree,0.7604,54.2
jungle,128,ttnet,0.7585,262.4
jungle,128,xgboost,0.8381,695.2
jungle,128,logistic_rule_regression,0.8189,98.0
jungle,128,logistic_regression,0.7912,12.0
jungle,128,decision_tree,0.7186,34.2
heart,64,ttnet,0.8743,401.8
heart,64,xgboost,0.8647,177.6
heart,64,logistic_rule_regression,0.8688,88.4
heart,64,logistic_regression,0.8953,30.0
heart,64,decision_tree,0.8212,9.0
heart,16,ttnet,0.772,378.0
heart,16,xgboost,0.8015,579.2
heart,16,logistic_rule_regression,0.8112,50.8
heart,16,logistic_regression,0.8114,29.6
heart,16,decision_tree,0.7084,6.2
heart,4,ttnet,0.7312,368.8
heart,4,xgboost,0.5,0.0
heart,4,logistic_rule_regression,0.8337,69.4
heart,4,logistic_regression,0.8091,27.6
heart,4,decision_tree,0.5462,1.4
heart,8,ttnet,0.7895,363.8
heart,8,xgboost,0.5835,0.4
heart,8,logistic_rule_regression,0.8469,57.4
heart,8,logistic_regression,0.8269,29.2
heart,8,decision_tree,0.6335,2.6
heart,32,ttnet,0.8357,403.8
heart,32,xgboost,0.8542,249.6
heart,32,logistic_rule_regression,0.8226,57.8
heart,32,logistic_regression,0.8782,29.8
heart,32,decision_tree,0.743,7.8
heart,256,ttnet,0.9033,425.4
heart,256,xgboost,0.9078,722.2
heart,256,logistic_rule_regression,0.9008,86.4
heart,256,logistic_regression,0.9185,30.0
heart,256,decision_tree,0.8258,18.2
heart,128,ttnet,0.8994,410.6
heart,128,xgboost,0.8978,343.8
heart,128,logistic_rule_regression,0.8754,93.4
heart,128,logistic_regression,0.9111,30.0
heart,128,decision_tree,0.8257,24.2
road_safety,64,ttnet,0.6061,542.4
road_safety,64,xgboost,0.6617,189.0
road_safety,64,logistic_rule_regression,0.6516,114.6
road_safety,64,logistic_regression,0.5431,63.8
road_safety,64,decision_tree,0.6111,11.0
road_safety,16,ttnet,0.5402,416.6
road_safety,16,xgboost,0.5079,71.6
road_safety,16,logistic_rule_regression,0.5666,146.8
road_safety,16,logistic_regression,0.5219,63.0
road_safety,16,decision_tree,0.5365,7.0
road_safety,4,ttnet,0.519,366.0
road_safety,4,xgboost,0.5,0.0
road_safety,4,logistic_rule_regression,0.516,172.0
road_safety,4,logistic_regression,0.5046,60.4
road_safety,4,decision_tree,0.5087,1.4
road_safety,8,ttnet,0.4972,386.6
road_safety,8,xgboost,0.5085,0.6
road_safety,8,logistic_rule_regression,0.5227,184.4
road_safety,8,logistic_regression,0.4945,62.0
road_safety,8,decision_tree,0.5,2.2
road_safety,32,ttnet,0.579,450.8
road_safety,32,xgboost,0.6515,188.4
road_safety,32,logistic_rule_regression,0.6129,107.8
road_safety,32,logistic_regression,0.578,63.2
road_safety,32,decision_tree,0.5796,10.6
road_safety,256,ttnet,0.6742,708.2
road_safety,256,xgboost,0.757,191.6
road_safety,256,logistic_rule_regression,0.6964,158.0
road_safety,256,logistic_regression,0.575,64.0
road_safety,256,decision_tree,0.6818,23.0
road_safety,128,ttnet,0.6187,644.8
road_safety,128,xgboost,0.7119,1436.2
road_safety,128,logistic_rule_regression,0.657,108.8
road_safety,128,logistic_regression,0.6652,63.4
road_safety,128,decision_tree,0.6663,23.4
calhousing,64,ttnet,0.7761,291.0
calhousing,64,xgboost,0.8184,272.2
calhousing,64,logistic_rule_regression,0.821,75.4
calhousing,64,logistic_regression,0.8259,16.0
calhousing,64,decision_tree,0.7062,17.0
calhousing,16,ttnet,0.6898,310.4
calhousing,16,xgboost,0.6572,24.8
calhousing,16,logistic_rule_regression,0.7244,63.4
calhousing,16,logistic_regression,0.7001,16.0
calhousing,16,decision_tree,0.6176,5.8
calhousing,4,ttnet,0.5814,234.6
calhousing,4,xgboost,0.5,0.0
calhousing,4,logistic_rule_regression,0.6359,85.2
calhousing,4,logistic_regression,0.5763,16.0
calhousing,4,decision_tree,0.5041,1.4
calhousing,8,ttnet,0.6912,274.8
calhousing,8,xgboost,0.507,0.2
calhousing,8,logistic_rule_regression,0.6835,84.6
calhousing,8,logistic_regression,0.6199,16.0
calhousing,8,decision_tree,0.5113,2.2
calhousing,32,ttnet,0.7618,296.6
calhousing,32,xgboost,0.7557,58.0
calhousing,32,logistic_rule_regression,0.7773,52.4
calhousing,32,logistic_regression,0.86,16.0
calhousing,32,decision_tree,0.7041,9.0
calhousing,256,ttnet,0.8268,281.0
calhousing,256,xgboost,0.8816,2435.8
calhousing,256,logistic_rule_regression,0.8646,95.2
calhousing,256,logistic_regression,0.8655,16.0
calhousing,256,decision_tree,0.7887,43.8
calhousing,128,ttnet,0.79,268.2
calhousing,128,xgboost,0.8451,774.8
calhousing,128,logistic_rule_regression,0.8297,94.2
calhousing,128,logistic_regression,0.8872,16.0
calhousing,128,decision_tree,0.7366,31.0
